test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,total_delay_C_obj_val,total_delay_B_obj_val,total_delay_A_obj_val,first_tier_rides_C_obj_val,first_tier_rides_B_obj_val,first_tier_rides_A_obj_val,fleet_capacity_obj_val,total_delay_C_obj_mip_gap,total_delay_B_obj_mip_gap,total_delay_A_obj_mip_gap,first_tier_rides_C_obj_mip_gap,first_tier_rides_B_obj_mip_gap,first_tier_rides_A_obj_mip_gap,fleet_capacity_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.7800922393798828,681,150,286,-3,-1,-6,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,47.666666666666664,150.0,227.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.7470207214355469,681,150,286,-3,-1,-6,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,47.666666666666664,150.0,227.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.882110595703125,681,150,286,-3,-1,-6,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,47.666666666666664,150.0,227.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.8050994873046875,681,150,286,-3,-1,-6,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,47.666666666666664,150.0,227.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1117.0,1117.0,286.0,150.0,681.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.475179672241211,696,59,1131,-3,-1,-6,20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,5,188.5,59.0,232.0,1131.0,59.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1886.0,1131.0,59.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,3.0,1886.0,1886.0,1131.0,59.0,696.0,0.0,0.0,0.0,0.0
slevels_050,slevels_050__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,949.4645195007324,0,1433,94,0,-8,-2,16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,4,47.0,134.75,,94.0,1078.0,0.0,0.0,44.375,,0.0,355.0,0.0,10.0,2.0,8.0,0.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1527.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0
slevels_080,slevels_080__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,681.4797077178955,0,1433,94,0,-8,-2,16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,4,47.0,134.75,,94.0,1078.0,0.0,0.0,44.375,,0.0,355.0,0.0,10.0,2.0,8.0,0.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1527.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0
slevels_090,slevels_090__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,530.7288112640381,0,1433,94,0,-8,-2,16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,4,47.0,134.75,,94.0,1078.0,0.0,0.0,44.375,,0.0,355.0,0.0,10.0,2.0,8.0,0.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1527.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0
slevels_100,slevels_100__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,396.56192207336426,0,1433,94,0,-8,-2,16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,4,47.0,134.75,,94.0,1078.0,0.0,0.0,44.375,,0.0,355.0,0.0,10.0,2.0,8.0,0.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1527.0,1172.0,94.0,1078.0,0.0,355.0,0.0,355.0,0.0
status_quo,status_quo__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,18026.544542312622,0,2049,465,0,-8,-2,20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,5,232.5,256.125,,465.0,2049.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,2.0,8.0,0.0,2514.0,465.0,2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,2514.0,2514.0,465.0,2049.0,0.0,0.0,0.0,0.0,0.0
