test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,total_delay_C_obj_val,total_delay_B_obj_val,total_delay_A_obj_val,first_tier_rides_C_obj_val,first_tier_rides_B_obj_val,first_tier_rides_A_obj_val,fleet_capacity_obj_val,total_delay_C_obj_mip_gap,total_delay_B_obj_mip_gap,total_delay_A_obj_mip_gap,first_tier_rides_C_obj_mip_gap,first_tier_rides_B_obj_mip_gap,first_tier_rides_A_obj_mip_gap,fleet_capacity_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.1379833221435547,613,356,648,-3,-2,-4,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,129.6,178.0,204.33333333333334,648.0,356.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,3.0,1352.0,383.0,356.0,613.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1617.0,1617.0,648.0,356.0,613.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.0997314453125,613,356,648,-3,-2,-4,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,129.6,178.0,204.33333333333334,648.0,356.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,3.0,1352.0,383.0,356.0,613.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1617.0,1617.0,648.0,356.0,613.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.05185699462890625,591,356,435,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,87.0,178.0,197.0,435.0,356.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1382.0,435.0,356.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1382.0,1382.0,435.0,356.0,591.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.05884361267089844,591,356,435,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,87.0,178.0,197.0,435.0,356.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1382.0,435.0,356.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1382.0,1382.0,435.0,356.0,591.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__005__maxpcount_01,maxpcount_01,005,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.18851852416992188,591,356,648,-3,-2,-5,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,129.6,178.0,197.0,648.0,356.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1595.0,648.0,356.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1595.0,1595.0,648.0,356.0,591.0,0.0,0.0,0.0,0.0
slevels_050,slevels_050__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,1.0990562438964844,0,1346,232,0,-7,-2,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,116.0,164.875,,232.0,1319.0,0.0,0.0,3.375,,0.0,27.0,0.0,9.0,2.0,7.0,0.0,1147.0,232.0,915.0,0.0,27.0,0.0,27.0,0.0,1.0,0.0,1.0,0.0,404.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1578.0,1551.0,232.0,1319.0,0.0,27.0,0.0,27.0,0.0
slevels_080,slevels_080__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,0.8979167938232422,0,1346,232,0,-7,-2,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,116.0,164.875,,232.0,1319.0,0.0,0.0,3.375,,0.0,27.0,0.0,9.0,2.0,7.0,0.0,1147.0,232.0,915.0,0.0,27.0,0.0,27.0,0.0,1.0,0.0,1.0,0.0,404.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1578.0,1551.0,232.0,1319.0,0.0,27.0,0.0,27.0,0.0
slevels_090,slevels_090__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,0.9235343933105469,0,1346,232,0,-7,-2,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,116.0,164.875,,232.0,1319.0,0.0,0.0,3.375,,0.0,27.0,0.0,9.0,2.0,7.0,0.0,1147.0,232.0,915.0,0.0,27.0,0.0,27.0,0.0,1.0,0.0,1.0,0.0,404.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1578.0,1551.0,232.0,1319.0,0.0,27.0,0.0,27.0,0.0
slevels_100,slevels_100__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,0.17054367065429688,0,949,232,0,-8,-2,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,116.0,115.25,,232.0,922.0,0.0,0.0,3.375,,0.0,27.0,0.0,10.0,2.0,8.0,0.0,1154.0,232.0,922.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1181.0,1154.0,232.0,922.0,0.0,27.0,0.0,27.0,0.0
status_quo,status_quo__manhattan__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,total_delay__first_tier_rides__fleet_capacity,1.2691383361816406,0,1333,470,0,-8,-2,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,235.0,163.25,,470.0,1306.0,0.0,0.0,3.375,,0.0,27.0,0.0,10.0,2.0,8.0,0.0,1776.0,470.0,1306.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1803.0,1776.0,470.0,1306.0,0.0,27.0,0.0,27.0,0.0
