,test,id_instance,demand_size,user_base,fleet_size,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,total_pk_delay,total_ride_delay,run_time
193,slevels_100,4,20,AA,16.0,83.91666666666667,209.16666666666663,102.0,0.0,18.0,0.0,2466.0,108.0,0.9542179107666016
198,slevels_100,5,20,AA,18.0,78.23076923076924,113.4,90.5,0.0,0.0,20.0,1765.0,40.0,1.186147689819336
179,status_quo,1,20,AA,14.0,104.35714285714286,304.5,201.0,0.0,0.0,0.0,3081.0,0.0,2.304849624633789
184,status_quo,2,20,AA,15.0,86.875,,323.5,0.0,,0.0,2684.0,0.0,1.9828243255615237
189,status_quo,3,20,AA,14.0,135.125,,189.25,0.0,,16.5,2919.0,66.0,4.1723594665527335
194,status_quo,4,20,AA,15.0,106.83333333333331,209.16666666666663,102.0,0.0,18.0,0.0,2741.0,108.0,5.157400131225586
199,status_quo,5,20,AA,12.0,187.84615384615384,169.8,212.0,0.0,67.4,24.0,3715.0,385.0,2.2382869720458984
207,slevels_090,2,20,BB,14.0,85.0,122.76923076923076,183.33333333333331,0.0,29.07692307692308,0.0,2486.0,378.0,3797.122005462647
221,slevels_090,5,20,BB,13.0,67.0,210.625,166.16666666666666,0.0,0.0,14.5,3084.0,87.0,1627.7969303131104
208,slevels_100,2,20,BB,15.0,85.0,104.6153846153846,183.33333333333331,0.0,29.07692307692308,0.0,2250.0,378.0,573.1771564483643
222,slevels_100,5,20,BB,14.0,64.5,177.375,164.33333333333334,0.0,0.0,14.5,2792.0,87.0,150.72397422790527
209,status_quo,2,20,BB,12.0,153.0,163.53846153846158,181.33333333333331,0.0,40.615384615384606,0.0,3282.0,528.0,6147.271854400635
223,status_quo,5,20,BB,10.0,187.0,235.875,136.83333333333334,0.0,11.25,0.3333333333333333,3830.0,92.0,8355.070301055908
240,slevels_090,4,20,CC,10.0,116.0,103.33333333333331,197.6923076923077,0.0,151.33333333333334,39.384615384615394,3306.0,1420.0,8206.37566947937
241,slevels_100,4,20,CC,11.0,116.0,69.16666666666667,197.6923076923077,0.0,133.16666666666666,35.230769230769226,3101.0,1257.0,278.5670738220215
242,status_quo,4,20,CC,10.0,116.0,201.66666666666663,181.6923076923077,0.0,42.333333333333336,49.69230769230769,3688.0,900.0,11307.028091430664
